dataset,model,n_trials,best_val_auc_roc,best_params.n_estimators,best_params.max_depth,best_params.learning_rate,best_params.subsample,best_params.colsample_bytree,best_params.min_child_weight,best_params.reg_alpha,best_params.reg_lambda,best_params.scale_pos_weight,best_params.num_leaves,best_params.bagging_fraction,best_params.bagging_freq,best_params.feature_fraction,best_params.min_child_samples,best_params.C,best_params.l1_ratio,best_params.class_weight,best_params.solver
cd1,xgboost,50,0.7622401073105299,795.0,9.0,0.022159348459209697,0.6233210966756264,0.7125535568087986,10.0,0.16909416028190524,6.364631922126601,1.0,,,,,,,,,
cd1,lightgbm,50,0.7491616364855802,449.0,6.0,0.08638893347986921,,,,7.3270245817168655,5.396260247628893,,20.0,0.6423589615003013,1.0,0.656135838825565,30.0,,,,
cd2,xgboost,50,0.775966449612322,231.0,5.0,0.016348569248088956,0.6413611870890207,0.8350578288710848,8.0,0.2109815889629021,0.628286639893716,1.0,,,,,,,,,
cd2,lightgbm,50,0.7745441139751013,473.0,4.0,0.016530803392479292,,,,0.8293595210202308,5.5534126774101455,,90.0,0.9744509853502976,1.0,0.7751616148795013,12.0,,,,
ld1,xgboost,50,0.9087962962962963,692.0,10.0,0.20879929187286886,0.8075433441545796,0.7263716207323172,1.0,0.031234238019004493,0.16495695712141822,10.206349206349206,,,,,,,,,
ld1,lightgbm,50,0.9201388888888888,698.0,10.0,0.22137219976787262,,,,0.0,0.0,,202.0,0.8625076157309961,1.0,0.6144650841978785,14.0,,,,
ld2,xgboost,50,0.9573086350521431,334.0,7.0,0.07855228983681649,0.9470955815104045,0.8412428629354902,3.0,0.05052756221488247,3.1630994377564945,1.0,,,,,,,,,
ld2,lightgbm,50,0.9560499030701002,745.0,6.0,0.07685501588482806,,,,0.0,0.0,,207.0,0.9724944942760407,1.0,0.6478934354004491,27.0,,,,
ld3,xgboost,50,0.6658120506555959,575.0,9.0,0.01938674832256957,0.7866884014908136,0.6175215063148914,6.0,0.95290284510031,16.83716296595526,1.0,,,,,,,,,
ld3,lightgbm,50,0.6654670222466886,404.0,6.0,0.038660832399633235,,,,6.6449700552503534,5.00303702908228,,44.0,0.7203794767123759,1.0,0.7954336181406133,47.0,,,,
cf1,xgboost,50,0.9552521805081531,231.0,5.0,0.016348569248088956,0.6413611870890207,0.8350578288710848,8.0,0.2109815889629021,0.628286639893716,1.0,,,,,,,,,
cf1,lightgbm,50,0.9884338263177853,478.0,8.0,0.01811200914022171,,,,0.03754238225290729,0.10425693378216724,,20.0,0.6213527730508701,1.0,0.8364575264443885,7.0,,,,
cf2,xgboost,50,0.758985200845666,798.0,8.0,0.039836637221613916,0.9256081538664138,0.6667891679630815,4.0,0.0,4.593783604233235,1.0,,,,,,,,,
cf2,lightgbm,50,0.7665067490648886,324.0,6.0,0.016313759647946173,,,,0.0,0.003071355011352014,,249.0,0.6055745150832806,1.0,0.6918624119995421,28.0,,,,
cc1,xgboost,50,0.6261530398322851,754.0,3.0,0.021838851902085045,0.6527288871146084,0.8710634694451429,10.0,0.5984801389575233,2.1735355548034265,1.0,,,,,,,,,
cc1,lightgbm,50,0.6236897274633124,234.0,4.0,0.016312340947820043,,,,0.004115793536089474,0.0,,213.0,0.9683881889949801,1.0,0.6662126890941112,19.0,,,,
cc2,xgboost,50,0.8639588329336532,454.0,5.0,0.030461456074977616,0.7517856318907716,0.8742973381823782,3.0,4.627986443771727,1.2781720624172876,1.0,,,,,,,,,
cc2,lightgbm,50,0.8654201638689049,478.0,8.0,0.01811200914022171,,,,0.03754238225290729,0.10425693378216724,,20.0,0.6213527730508701,1.0,0.8364575264443885,7.0,,,,
cc3,xgboost,50,0.874049659415513,754.0,3.0,0.021838851902085045,0.6527288871146084,0.8710634694451429,10.0,0.5984801389575233,2.1735355548034265,1.0,,,,,,,,,
cc3,lightgbm,50,0.8735882223687103,473.0,4.0,0.016530803392479292,,,,0.8293595210202308,5.5534126774101455,,90.0,0.9744509853502976,1.0,0.7751616148795013,12.0,,,,
cd1,logreg,20,0.7525150905432596,,,,,,,,,,,,,,,0.0425722683178138,1.0,,saga
cd2,logreg,20,0.7552301556071791,,,,,,,,,,,,,,,71.36579727914017,0.706,,saga
ld1,logreg,20,0.7354166666666666,,,,,,,,,,,,,,,0.22273017401870754,0.396,,saga
ld2,logreg,20,0.8758317429593919,,,,,,,,,,,,,,,0.1786198373141632,0.202,,saga
ld3,logreg,20,0.629798607608472,,,,,,,,,,,,,,,0.0425722683178138,1.0,,saga
cf1,logreg,20,0.962836556693212,,,,,,,,,,,,,,,19.633132590332274,1.0,,saga
cf2,logreg,20,0.7591071718978696,,,,,,,,,,,,,,,0.0425722683178138,1.0,,saga
cc1,logreg,20,0.636556603773585,,,,,,,,,,,,,,,19.633132590332274,1.0,,saga
cc2,logreg,20,0.7894184652278179,,,,,,,,,,,,,,,1.6570117971466753,0.0,,saga
cc3,logreg,20,0.8607339046363437,,,,,,,,,,,,,,,0.16484318387214913,0.758,,saga
